id,fecha,categoria,decision,confianza,score_valor,score_politica,titulo,autor,url
63,2024-04-24,logistica,INCLUIR,0.4,25,0,Ya se conocen los días y el lugar para recoger las pulseras del Warm Up,LA VERDAD,https://www.laverdad.es/murcia/ciudad-murcia/conocen-dias-lugar-recoger-pulseras-warm-up-20240424134132-nt.html
14,2026-03-03,programacion,INCLUIR,0.71,35,0,Cartel por días del Warm Up de Murcia: consulta los conciertos del viernes y el sábado,LA VERDAD,https://www.laverdad.es/culturas/musica/cartel-dias-warm-up-murcia-consulta-conciertos-20260303160753-nt.html
37,2025-02-18,programacion,INCLUIR,0.7,20,0,M.I.A. y Varry Brava cierran el cartel del Warm Up,LA VERDAD,https://www.laverdad.es/culturas/musica/varry-brava-cierran-cartel-warm-up-20250218121757-nt.html
3,2026-05-03,programacion,INCLUIR,0.67,9,0,Las imágenes de los conciertos del sábado del Warm Up,,https://www.laverdad.es/culturas/musica/imagenes-conciertos-sabado-warm-up-20260503110514-ga.html
75,2023-05-18,programacion,INCLUIR,0.62,37,0,El Warm Up también devolverá el dinero del sábado a quienes compraron el abono,Susana Fernández,https://www.laverdad.es/culturas/musica/warm-up-devolvera-dinero-sabado-compraron-abono-20230518185953-nt.html
67,2024-02-15,programacion,INCLUIR,0.6,43,0,El Warm Up desvela su cartel por días: consulta cuándo actúa cada banda,LA VERDAD,https://www.laverdad.es/culturas/musica/warm-up-desvela-cartel-dias-consulta-actua-20240215131642-nt.html
41,2024-08-29,programacion,INCLUIR,0.58,12,0,Ya se conocen las fechas del Warm Up 2025,LA VERDAD,https://www.laverdad.es/culturas/musica/conocen-fechas-warm-up-2025-20240829144039-nt.html
64,2024-04-15,programacion,INCLUIR,0.58,62,0,Estos son los horarios de los conciertos del Warm Up,I.M.,https://www.laverdad.es/culturas/musica/horarios-conciertos-warm-up-20240415123237-nt.html
23,2025-05-04,programacion,INCLUIR,0.57,21,0,"Los conciertos de la segunda jornada del Warm Up de Murcia, en imágenes",Kiko Asunción / AGM,https://www.laverdad.es/culturas/musica/conciertos-segunda-jornada-warm-up-murcia-imagenes-20250504074223-ga.html
26,2025-05-02,programacion,INCLUIR,0.57,21,0,"Los conciertos de la primera jornada del Warm Up de Murcia, en imágenes",Kiko Asunción / Guillermo Carrión / AGM,https://www.laverdad.es/culturas/musica/conciertos-primera-jornada-warm-up-murcia-imagenes-20250502201728-ga.html
76,2023-05-12,programacion,INCLUIR,0.56,46,0,Warm Up 2023: ya hay fecha para la devolución del dinero de las entradas del sábado,María José Timoteo,https://www.laverdad.es/culturas/musica/warm-up-2023-fecha-devolucion-dinero-entradas-sabado-20230512121930-nt.html
52,2024-05-03,programacion,INCLUIR,0.55,20,0,"Los conciertos de la primera jornada del Warm Up 2024, en imágenes",Javier Carrión / Guillermo Carrión / AGM,https://www.laverdad.es/culturas/musica/conciertos-primera-jornada-warm-up-2024-imagenes-20240503233956-ga.html
13,2026-04-20,programacion,INCLUIR,0.53,34,0,"The Kooks, baja de última hora del cartel del Warm Up de Murcia",LA VERDAD,https://www.laverdad.es/culturas/musica/the-kooks-baja-ultima-hora-cartel-warm-20260420175422-nt.html
35,2025-04-10,programacion,INCLUIR,0.5,58,0,Warm Up 2025: Estos son los horarios de los conciertos por días y escenarios,LA VERDAD,https://www.laverdad.es/culturas/musica/warm-up-2025-horarios-conciertos-dias-20250410174838-nt.html
53,2024-05-03,programacion,INCLUIR,0.5,6,0,Bailes hasta el amanecer en el Warm Up 2024,Javier Carrión / Guillermo Carrión / AGM,https://www.laverdad.es/culturas/musica/bailes-amanecer-warm-up-2024-20240503232842-ga.html
34,2025-04-24,programacion,INCLUIR,0.48,44,0,El festival Warm Up presenta su programación de actividades paralelas gratuitas en Murcia,LA VERDAD,https://www.laverdad.es/culturas/festival-warm-up-presenta-programacion-actividades-paralelas-20250424112030-nt.html
12,2026-04-22,programacion,INCLUIR,0.47,30,0,El festival Warm Up anuncia la banda que sustituirá a The Kooks,LA VERDAD,https://www.laverdad.es/culturas/festival-warm-up-anuncia-incorporacion-banda-sustituira-20260422111739-nt.html
62,2024-04-26,programacion,INCLUIR,0.46,59,0,Todas las actividades que el festival Warm Up prepara durante una semana entera en Murcia,Natalia Moreno,https://www.laverdad.es/culturas/musica/conoce-actividades-festival-warm-up-prepara-semana-20240426130236-nt.html
29,2025-05-02,programacion,INCLUIR,0.41,31,0,La unión entre lo masivo y lo alternativo marca la vuelta del Warm Up de Murcia,Alberto Frutos,https://www.laverdad.es/culturas/musica/union-masivo-alternativo-marca-vuelta-warm-up-20250502220540-nt.html
44,2024-05-04,programacion,INCLUIR,0.38,24,0,"Los conciertos de la segunda jornada del Warm Up 2024, en imágenes",Javier Carrión / Guillermo Carrión / AGM,https://www.laverdad.es/culturas/musica/conciertos-segunda-jornada-warm-up-2024-imagenes-20240504232501-ga.html
57,2024-05-02,programacion,INCLUIR,0.38,93,0,Todo lo que tienes que saber para disfrutar del Warm Up 2024,Iván Rosique,https://www.laverdad.es/culturas/musica/saber-disfrutar-warm-up-2024-20240502175057-nt.html
46,2024-05-04,programacion,INCLUIR,0.36,33,0,"Warm Up, cuando todos los problemas son elegir a qué grupo perderse",Natalia Benito,https://www.laverdad.es/culturas/musica/warm-up-problemas-elegir-grupo-perderse-20240504200609-nt.html
11,2026-04-28,programacion,INCLUIR,0.33,18,0,Podcast: De Fatboy Slim a Perdón: 10 conciertos esenciales del Warm Up 2026,Alberto Frutos,https://www.laverdad.es/podcast/pulso-musical/fatboy-slim-perdon-conciertos-esenciales-warm-up-20260428194724-aud.html
50,2024-05-04,programacion,INCLUIR,0.33,9,0,El Warm Up 2024 invade el centro de Murcia por la mañana,José Luis Ros Caval / AGM,https://www.laverdad.es/culturas/musica/warm-up-2024-invade-centro-murcia-manana-20240504145033-ga.html
40,2024-10-29,programacion,INCLUIR,0.31,31,0,"Franz Ferdinand, Carolina Durante y Fangoria, primeras confirmaciones del Warm Up 2025",Fernando Perals,https://www.laverdad.es/culturas/musica/franz-ferdinand-carolina-fangoria-primeras-confirmaciones-warm-20241029163040-nt.html
15,2026-03-01,programacion,INCLUIR,0.29,17,0,"Bloc Party, Lori Meyers y Midnight Generation cierran el cartel del Warm Up",LA VERDAD,https://www.laverdad.es/culturas/musica/bloc-party-lori-meyers-midnight-generation-cierran-20260301112823-nt.html
60,2024-05-01,turismo_cultura,INCLUIR,0.8,42,0,Turismo prevé que el Warm Up deje un 80% de ocupación en hoteles de la Región de Murcia,Tania Costa,https://www.laverdad.es/murcia/hoteles-costa-calida-esperan-poca-puente-mayo-20240430112610-nt.html
43,2024-05-05,turismo_cultura,INCLUIR,0.5,12,0,El Warm Up 2024 se despide con conciertos en el centro de Murcia,Javier Carrión / AGM,https://www.laverdad.es/culturas/musica/warm-up-2024-despide-conciertos-centro-murcia-20240505200730-ga.html
20,2025-05-05,turismo_cultura,INCLUIR,0.43,46,0,El Warm Up deja un fin de semana con la mejor rentabilidad del año para los hoteles de Murcia,LA VERDAD,https://www.laverdad.es/murcia/ciudad-murcia/warm-up-deja-fin-semana-mejor-rentabilidad-20250505144753-nt.html
66,2024-02-29,turismo_cultura,INCLUIR,0.37,35,0,Luis Bernardeau: «Tuve una visión después de la epifanía ruidosa de Yo La Tengo en el Warm Up»,Manuel Madrid,https://www.laverdad.es/culturas/luis-bernardeau-vision-despues-epifania-ruidosa-warm-20240229010030-nt.html
61,2024-04-29,turismo_cultura,INCLUIR,0.35,54,1,La Comunidad prevé que el Warm Up tenga un impacto económico directo de más de 19 millones en la Región de Murcia,LA VERDAD,https://www.laverdad.es/culturas/musica/comunidad-preve-warm-up-impacto-economico-directo-20240429154424-nt.html
38,2024-12-18,turismo_cultura,INCLUIR,0.28,32,0,"Crystal Fighters, Mikel Izal y Sexy Zebras se suman al Warm Up 2025",LA VERDAD,https://www.laverdad.es/culturas/musica/crystal-fighters-mikel-izal-sexy-zebras-suman-20241218125928-nt.html
