"dish_name","ingredients","preparation","history_note"
"Mojete","","trozo de bacalao de molla 1 kg de tomates 4 pimientos de bola 1 ñora 250 g olivas negras Aceite de oliva Sal Se asan en el horno el bacalao y la ñora. Se desmenuza el bacalao y se limpia la ñora de las simientes. En un mortero se pican los ajos secos, se limpian los pimientos verdes de bola, se trocean y se incorporan al mortero. Se sigue picando y se añade el bacalao desmenuzado y los tomates troceados. Se pica todo y se va añadiendo aceite sin dejar de picar y dar vueltas. Se sirve en una fuente y se adorna con las olivas negras y las ñoras troceadas. Se pone sal al gusto.","Receta tradicional de la cocina murciana extraída de la página oficial de recetas de Turismo de Murcia. Forma parte del repertorio gastronómico regional vinculado a la huerta, los productos frescos, los arroces, las verduras, los pescados y la cocina popular murciana."
"Ensalada Murciana","","1 kg de tomate de bote 200 g de atún en aceite de oliva manojo de cebolla tierna huevos duros 100 g de olivas de cuquillo Aceite de oliva Sal En una fuente apropiada para ensalada se pone el tomate y la cebolla previamente cortada, se le añade la mitad de atún y la mitad de las olivas, sal al gusto y un chorro de aceite. Se mueve y se adorna la otra mitad de atún, las olivas restantes y el huevo duro partido en cuatro trozos. Para finalizar se le pone un chorrico de aceite para iluminar la ensalada murciana.","Receta tradicional de la cocina murciana extraída de la página oficial de recetas de Turismo de Murcia. Forma parte del repertorio gastronómico regional vinculado a la huerta, los productos frescos, los arroces, las verduras, los pescados y la cocina popular murciana."
"Zarangollo","","1 kg de calabacín 1 kg de cebolla tierna 1/2 kg de patatas 6 huevos Aceite de oliva Sal Se pelan las patatas, cebollas y calabacín. Las patatas se parten a lo pobre y se fríen a fuego lento sin llegar a tostar, se sacan y se ponen en una escurridera para que suelten un poco de aceite. En la misma sartén se ponen la cebolla partida a cuadraditos. Una vez frita, se saca y se pone también a colar o escurrir el aceite. Por último, en la misma sartén se pone el calabacín partido y cuando esté tierno se saca y se vierte todo en una sartén más grande, se pone al fuego y se le cascan seis huevos. Se deja que cuajen un poco antes de darle vueltas hasta que queden jugosos. Se rectifica de sal y listo para comer.","Receta tradicional de la cocina murciana extraída de la página oficial de recetas de Turismo de Murcia. Forma parte del repertorio gastronómico regional vinculado a la huerta, los productos frescos, los arroces, las verduras, los pescados y la cocina popular murciana."
"Michirones","","1 kg de habas secas 1 chorizo picante 1 chorizo dulce 1 cabeza de ajo 4 hojas de laurel 1 trozo de punta de pecho 1 trozo de panceta fresca cortada en dados 1 trozo de morro, rabo, manos y careta de cerdo Unos huesos de espinazo 2 ó 3 guindillas Pimentón Hueso de jamón Tacos de jamón Un trozo de sobrasada< Aceite de oliva Sal Si las habas son secas se ponen a remojo con un puñado de sal y los huesos de jamón durante 24 ó 36 horas.Cambiamos el agua cada doce horas. Cuando estén los michirones, se escurre el agua y se echan en una olla con todos los ingredientes. Se cubre de agua unos dos dedos por encima de los ingredientes. Dejar cocer a fuego lento hasta que las habas estén tiernas.En una sartén se pone a calentar el aceite. Cuando esté caliente se le añade el pimentón cuando le queda poco a la cocción. Dejar reposar y servir.","Receta tradicional de la cocina murciana extraída de la página oficial de recetas de Turismo de Murcia. Forma parte del repertorio gastronómico regional vinculado a la huerta, los productos frescos, los arroces, las verduras, los pescados y la cocina popular murciana."
"Arroz y habichuelas","","1 puñado de habichuelas (por persona) Medio puñado de arroz (por persona) 1 nabo 2 alcaciles 8 tabillas (si es temporada) 1 cabeza de ajos 2 ñoras 1 tomate rojo 2 ñoras 1 tomate rojo 2 patatas medianas 4 ajos tiernos 1 cucharada de pimentón Colorante Aceite de oliva Sal Se ponen en una olla las habichuelas que ya tendremos remojadas y cuando rompan a hervir se les añade agua fría para romper la cocción. Esto se repite dos veces más. Añadimos el nabo pelado y mientras siguen cociendo a fuego medio hacemos el sofrito. Primero la cabeza de ajos y las dos ñoras, luego freiremos moderadamente los ajos tiernos, los alcaciles limpios y partidos por la mitad. Pondremos en la olla las tabillas limpias y partidas por la mitad. En la sartén tendremos haciendo a fuego suave el tomate. Una vez frito, lo apartamos del fuego y le ponemos el pimentón y lo echamos todo en la olla (las verduras y el sofrito). Pelamos y partimos las patatas y se las añadimos al guiso, le ponemos el colorante y cuando rompan a hervir las patatas le ponemos el arroz, vigilando que no se pegue. Cuando esté casi hecho, se prueba de sal y se deja reposar, y listo para servir.","Receta tradicional de la cocina murciana extraída de la página oficial de recetas de Turismo de Murcia. Forma parte del repertorio gastronómico regional vinculado a la huerta, los productos frescos, los arroces, las verduras, los pescados y la cocina popular murciana."
"Arroz con conejo y caracoles","","1 conejo 1 pimiento rojo 500 g de caracoles 1 kg de arroz 4 tomates maduros 2 dientes de ajo 1 rama de tomillo Azafrán Perejil Aceite de oliva Sal Lavamos y cortamos el pimiento en tiras y el conejo en trozos. Cortamos en trocitos los ajos y rallamos el tomate. A continuación se calienta el aceite en una sartén donde se sofríen los pimientos y se apartan. Se echa el conejo y se sofríe hasta que esté casi sofrito. Se agregan los ajos, se rehogan y se añade el tomate, dejándolo sofreír con un poco de sal. Cuando esté, se agrega el agua y se deja hervir unos minutos. A continuación, se le agrega el azafrán y se echa el arroz, los imientos, la ramita de tomillo y los caracoles que tenemos preparados con anterioridad. Se deja cocer durante 15 a 18 minutos. La sal al gusto. Dejar reposar unos minutos y servir.","Receta tradicional de la cocina murciana extraída de la página oficial de recetas de Turismo de Murcia. Forma parte del repertorio gastronómico regional vinculado a la huerta, los productos frescos, los arroces, las verduras, los pescados y la cocina popular murciana."
"Paparajotes","","1/2 litro de leche 1 vaso de gaseosa 3 huevos 600 g de harina de fuerza 100 g de azúcar Canela molida Hojas de limonero frescas Aceite de oliva 2 cucharaditas de levadura Se baten los huevos y se le añade la leche y la gaseosa. Luego se le va añadiendo poco a poco la harina hasta conseguir una masa no muy líquida, pero tampoco muy compacta. Se le añade en el último lugar la levadura, se mueve y se deja reposar unos 10 ó 15 minutos. En el fuego tendremos la sartén honda preparada para hacer los paparajotes. Cuando el aceite esté caliente, cogemos una hoja de limonero limpia y seca, la sumergimos en el preparado y la pasamos por la sartén dorándola por ambos lados. Se sacan dejándolas para que suelten el aceite y se van mojando en azúcar y canela que tendremos preparado en un plato. Una vez que las tenemos con la canela y el azúcar ya están listas para comer. También te puede interesar CONOCER MURCIA MEDIEVAL SUBIR A LA TORRE DE LA CATEDRAL IR DE TAPEO ESCAPADA A LA FUENSANTA VISITAR EL BELÉN DE SALZILLO VISITAR EL TEATRO ROMEA RECORRER EL RIO PUENTE A PUENTE","Receta tradicional de la cocina murciana extraída de la página oficial de recetas de Turismo de Murcia. Forma parte del repertorio gastronómico regional vinculado a la huerta, los productos frescos, los arroces, las verduras, los pescados y la cocina popular murciana."
