"section","question","answer","section_short"
"DURANTE EL FESTIVAL","¿Puedo pagar en efectivo, con tarjeta o con tokens en el recinto?","No, el único método de pago en el festival será a través de tu pulsera (en el caso de abonos) o tu tarjeta (en el caso de entradas de día): tanto para bebidas como para la zona de restauración. ¡Asegúrate de no perderla!","durante"
"DURANTE EL FESTIVAL","¿Cómo cargo mi pulsera en el recinto?","En el recinto podrás cargar tu pulsera cashless con pago en efectivo o con tarjeta bancaria todas las veces que quieras en los puntos habilitados para ello. Te recomendamos que, si no has pre-cargado tu pulsera desde casa, lo hagas una vez llegues al recinto, con un importe para consumir durante todo el festival. No te preocupes, podrás solicitar el reembolso de tu saldo no gastado una vez finalice el evento.","durante"
"DURANTE EL FESTIVAL","¿Hay importe mínimo de carga en el recinto?","La carga mínima en el recinto con tarjeta será de 5€ y siempre en múltiplos de 5€ (5€, 10€, 15€, 20€, etc….) Para las recargas en efectivo no habrá importe mínimo de recarga.","durante"
"DURANTE EL FESTIVAL","¿Qué pasa si me quedo sin saldo durante el festival?","No te preocupes, podrás recargar tu pulsera tantas veces como quieras en cualquiera de los puntos de recarga del festival.","durante"
"DURANTE EL FESTIVAL","¿Puedo compartir mi pulsera?","Cada pulsera es intransferible y va asociada a una única persona. Las pulseras que, visiblemente, sean manipuladas, no se aceptarán como método de pago. Recuerda que tu pulsera es como tu entrada: si es sospechosa de manipulación tampoco podrás entrar en el recinto así que cuídala bien.","durante"
"DURANTE EL FESTIVAL","¿Y si se rompe o me aprieta? ¿Se puede mojar?","¡No te la cortes! Acércate al punto de atención al cliente y te solucionarán la incidencia enseguida. Y claro que puedes mojarla, ¡no pasa nada!","durante"
"DURANTE EL FESTIVAL","¿Y si quiero compartir el saldo con mis amigos?","¡Puedes hacerlo, no hay problema! Puedes utilizar el saldo de pulsera para compartir con tus amigxs si quieres o hacer un bote común. Pero recuerda que quién tenga el saldo en la pulsera es la persona que tendrá que ir a pedir siempre. Por eso os recomendamos que tengáis todos recargada la pulsera para tener más libertad.","durante"
